井名,坐标X,坐标Y,百度坐标lng,百度坐标lat
蒲南1-1,641753.91,3955987.99,112.5602525,35.71647296
蒲南1-2,642055.97,3955758.21,112.5635459,35.71436428
蒲南1-3,642152.22,3955533.08,112.5645668,35.71232537
蒲南1-4,642432.39,3955377.07,112.5676278,35.71089572
蒲南2-5,641520.27,3955729.26,112.5576232,35.71417797
蒲南2-7,642000.74,3955310.71,112.5628541,35.71033765
蒲南3-13,642502.87,3953878.48,112.5681268,35.69738394
蒲南3-5,641248.07,3955584.29,112.5545861,35.71292183
蒲南4-13,642333.35,3953721.22,112.5662289,35.69597903
蒲南4-14,642496.9,3953551.89,112.5680004,35.69444068
沁1-10-18-77,647346.09,3958535.77,112.6222903,35.73927903
沁1-10-18-86,647061.42,3958722.02,112.619177,35.7410016
沁1-10-18-88,647495.66,3958742.38,112.6239818,35.74111266
沁1-10-18-97,647217.78,3958832.3,112.6209247,35.74197134
沁1-11-18-8,647477.92,3959025.49,112.6238361,35.74366587
溪7-5,648087.31,3953877.48,112.6296154,35.69715521
郑村-036,646343.8,3945740.98,112.6089019,35.62410656
郑村-088,647015.36,3947935.44,112.6166789,35.6438214
